,E,depol_prob,lam,p0_0,p0_1,p1_0,p1_1,phi,population,t1,t2,theta
0,0.9345703125,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,0.0,64845.0,16211.25,0.0
1,0.9365234375,0.5,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,0.0,64845.0,16211.25,0.0
2,0.94140625,1.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,0.0,64845.0,16211.25,0.0
3,0.9482421875,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,0.0,64845.0,21615.0,0.0
4,0.935546875,0.5,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,0.0,64845.0,21615.0,0.0
5,0.939453125,1.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,0.0,64845.0,21615.0,0.0
6,0.9287109375,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,0.0,64845.0,27018.75,0.0
7,0.9453125,0.5,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,0.0,64845.0,27018.75,0.0
8,0.9462890625,1.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,0.0,64845.0,27018.75,0.0
9,0.9384765625,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,0.0,79025.5,19756.375,0.0
10,0.9375,0.5,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,0.0,79025.5,19756.375,0.0
11,0.9375,1.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,0.0,79025.5,19756.375,0.0
12,0.919921875,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,0.0,79025.5,26341.833333333332,0.0
13,0.9501953125,0.5,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,0.0,79025.5,26341.833333333332,0.0
14,0.9375,1.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,0.0,79025.5,26341.833333333332,0.0
15,0.9423828125,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,0.0,79025.5,32927.291666666664,0.0
16,0.9404296875,0.5,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,0.0,79025.5,32927.291666666664,0.0
17,0.9482421875,1.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,0.0,79025.5,32927.291666666664,0.0
18,0.9423828125,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,0.0,93206.0,23301.5,0.0
19,0.9365234375,0.5,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,0.0,93206.0,23301.5,0.0
20,0.9365234375,1.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,0.0,93206.0,23301.5,0.0
21,0.9375,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,0.0,93206.0,31068.666666666668,0.0
22,0.9306640625,0.5,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,0.0,93206.0,31068.666666666668,0.0
23,0.943359375,1.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,0.0,93206.0,31068.666666666668,0.0
24,0.9482421875,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,0.0,93206.0,38835.833333333336,0.0
25,0.9423828125,0.5,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,0.0,93206.0,38835.833333333336,0.0
26,0.931640625,1.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,0.0,93206.0,38835.833333333336,0.0
27,0.9453125,0.0,0.0,0.94,0.030000000000000027,0.06000000000000005,0.97,0.0,0.0,64845.0,16211.25,0.0
28,0.9365234375,0.5,0.0,0.94,0.030000000000000027,0.06000000000000005,0.97,0.0,0.0,64845.0,16211.25,0.0
29,0.921875,1.0,0.0,0.94,0.030000000000000027,0.06000000000000005,0.97,0.0,0.0,64845.0,16211.25,0.0
30,0.9443359375,0.0,0.0,0.94,0.030000000000000027,0.06000000000000005,0.97,0.0,0.0,64845.0,21615.0,0.0
31,0.935546875,0.5,0.0,0.94,0.030000000000000027,0.06000000000000005,0.97,0.0,0.0,64845.0,21615.0,0.0
32,0.93359375,1.0,0.0,0.94,0.030000000000000027,0.06000000000000005,0.97,0.0,0.0,64845.0,21615.0,0.0
33,0.9375,0.0,0.0,0.94,0.030000000000000027,0.06000000000000005,0.97,0.0,0.0,64845.0,27018.75,0.0
34,0.947265625,0.5,0.0,0.94,0.030000000000000027,0.06000000000000005,0.97,0.0,0.0,64845.0,27018.75,0.0
35,0.9375,1.0,0.0,0.94,0.030000000000000027,0.06000000000000005,0.97,0.0,0.0,64845.0,27018.75,0.0
36,0.94140625,0.0,0.0,0.94,0.030000000000000027,0.06000000000000005,0.97,0.0,0.0,79025.5,19756.375,0.0
37,0.927734375,0.5,0.0,0.94,0.030000000000000027,0.06000000000000005,0.97,0.0,0.0,79025.5,19756.375,0.0
38,0.939453125,1.0,0.0,0.94,0.030000000000000027,0.06000000000000005,0.97,0.0,0.0,79025.5,19756.375,0.0
39,0.9453125,0.0,0.0,0.94,0.030000000000000027,0.06000000000000005,0.97,0.0,0.0,79025.5,26341.833333333332,0.0
40,0.9267578125,0.5,0.0,0.94,0.030000000000000027,0.06000000000000005,0.97,0.0,0.0,79025.5,26341.833333333332,0.0
41,0.9482421875,1.0,0.0,0.94,0.030000000000000027,0.06000000000000005,0.97,0.0,0.0,79025.5,26341.833333333332,0.0
42,0.9443359375,0.0,0.0,0.94,0.030000000000000027,0.06000000000000005,0.97,0.0,0.0,79025.5,32927.291666666664,0.0
43,0.9423828125,0.5,0.0,0.94,0.030000000000000027,0.06000000000000005,0.97,0.0,0.0,79025.5,32927.291666666664,0.0
44,0.93359375,1.0,0.0,0.94,0.030000000000000027,0.06000000000000005,0.97,0.0,0.0,79025.5,32927.291666666664,0.0
45,0.9375,0.0,0.0,0.94,0.030000000000000027,0.06000000000000005,0.97,0.0,0.0,93206.0,23301.5,0.0
46,0.947265625,0.5,0.0,0.94,0.030000000000000027,0.06000000000000005,0.97,0.0,0.0,93206.0,23301.5,0.0
47,0.9384765625,1.0,0.0,0.94,0.030000000000000027,0.06000000000000005,0.97,0.0,0.0,93206.0,23301.5,0.0
48,0.94140625,0.0,0.0,0.94,0.030000000000000027,0.06000000000000005,0.97,0.0,0.0,93206.0,31068.666666666668,0.0
49,0.943359375,0.5,0.0,0.94,0.030000000000000027,0.06000000000000005,0.97,0.0,0.0,93206.0,31068.666666666668,0.0
50,0.9423828125,1.0,0.0,0.94,0.030000000000000027,0.06000000000000005,0.97,0.0,0.0,93206.0,31068.666666666668,0.0
51,0.9365234375,0.0,0.0,0.94,0.030000000000000027,0.06000000000000005,0.97,0.0,0.0,93206.0,38835.833333333336,0.0
