,Unnamed: 0,E,depol_prob,lam,p0_0,p0_1,p1_0,p1_1,phi,t1,t2,theta,population
50,50,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.1415926535897927,inf,inf,0.0,0
51,51,0.0,0.00025,0.0,1.0,0.0,0.0,1.0,3.1415926535897927,inf,inf,0.0,0
52,52,0.0,0.0005,0.0,1.0,0.0,0.0,1.0,3.1415926535897927,inf,inf,0.0,0
53,53,0.0,0.00075,0.0,1.0,0.0,0.0,1.0,3.1415926535897927,inf,inf,0.0,0
54,54,0.0,0.001,0.0,1.0,0.0,0.0,1.0,3.1415926535897927,inf,inf,0.0,0
55,55,0.0,0.0,1.5707963267948966,1.0,0.0,0.0,1.0,3.1415926535897927,inf,inf,0.0,0
56,56,0.0,0.00025,1.5707963267948966,1.0,0.0,0.0,1.0,3.1415926535897927,inf,inf,0.0,0
57,57,0.0,0.0005,1.5707963267948966,1.0,0.0,0.0,1.0,3.1415926535897927,inf,inf,0.0,0
58,58,0.0,0.00075,1.5707963267948966,1.0,0.0,0.0,1.0,3.1415926535897927,inf,inf,0.0,0
59,59,0.0,0.001,1.5707963267948966,1.0,0.0,0.0,1.0,3.1415926535897927,inf,inf,0.0,0
60,60,0.0,0.0,3.1415926535897927,1.0,0.0,0.0,1.0,3.1415926535897927,inf,inf,0.0,0
61,61,0.0,0.00025,3.1415926535897927,1.0,0.0,0.0,1.0,3.1415926535897927,inf,inf,0.0,0
62,62,0.0,0.0005,3.1415926535897927,1.0,0.0,0.0,1.0,3.1415926535897927,inf,inf,0.0,0
63,63,0.0,0.00075,3.1415926535897927,1.0,0.0,0.0,1.0,3.1415926535897927,inf,inf,0.0,0
64,64,0.0,0.001,3.1415926535897927,1.0,0.0,0.0,1.0,3.1415926535897927,inf,inf,0.0,0
65,65,0.0,0.0,4.712388980384691,1.0,0.0,0.0,1.0,3.1415926535897927,inf,inf,0.0,0
66,66,0.0,0.00025,4.712388980384691,1.0,0.0,0.0,1.0,3.1415926535897927,inf,inf,0.0,0
67,67,0.0,0.0005,4.712388980384691,1.0,0.0,0.0,1.0,3.1415926535897927,inf,inf,0.0,0
68,68,0.0,0.00075,4.712388980384691,1.0,0.0,0.0,1.0,3.1415926535897927,inf,inf,0.0,0
69,69,0.0,0.001,4.712388980384691,1.0,0.0,0.0,1.0,3.1415926535897927,inf,inf,0.0,0
70,70,0.0,0.0,6.283185307179585,1.0,0.0,0.0,1.0,3.1415926535897927,inf,inf,0.0,0
71,71,0.0,0.00025,6.283185307179585,1.0,0.0,0.0,1.0,3.1415926535897927,inf,inf,0.0,0
72,72,0.0,0.0005,6.283185307179585,1.0,0.0,0.0,1.0,3.1415926535897927,inf,inf,0.0,0
73,73,0.0,0.00075,6.283185307179585,1.0,0.0,0.0,1.0,3.1415926535897927,inf,inf,0.0,0
74,74,0.0,0.001,6.283185307179585,1.0,0.0,0.0,1.0,3.1415926535897927,inf,inf,0.0,0
75,75,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.712388980384691,inf,inf,0.0,0
76,76,0.0,0.00025,0.0,1.0,0.0,0.0,1.0,4.712388980384691,inf,inf,0.0,0
77,77,0.0,0.0005,0.0,1.0,0.0,0.0,1.0,4.712388980384691,inf,inf,0.0,0
78,78,0.0,0.00075,0.0,1.0,0.0,0.0,1.0,4.712388980384691,inf,inf,0.0,0
79,79,0.0,0.001,0.0,1.0,0.0,0.0,1.0,4.712388980384691,inf,inf,0.0,0
80,80,0.0,0.0,1.5707963267948966,1.0,0.0,0.0,1.0,4.712388980384691,inf,inf,0.0,0
81,81,0.0,0.00025,1.5707963267948966,1.0,0.0,0.0,1.0,4.712388980384691,inf,inf,0.0,0
82,82,0.0,0.0005,1.5707963267948966,1.0,0.0,0.0,1.0,4.712388980384691,inf,inf,0.0,0
83,83,0.0,0.00075,1.5707963267948966,1.0,0.0,0.0,1.0,4.712388980384691,inf,inf,0.0,0
84,84,0.0,0.001,1.5707963267948966,1.0,0.0,0.0,1.0,4.712388980384691,inf,inf,0.0,0
85,85,0.0,0.0,3.1415926535897927,1.0,0.0,0.0,1.0,4.712388980384691,inf,inf,0.0,0
86,86,0.0,0.00025,3.1415926535897927,1.0,0.0,0.0,1.0,4.712388980384691,inf,inf,0.0,0
87,87,0.0,0.0005,3.1415926535897927,1.0,0.0,0.0,1.0,4.712388980384691,inf,inf,0.0,0
88,88,0.0,0.00075,3.1415926535897927,1.0,0.0,0.0,1.0,4.712388980384691,inf,inf,0.0,0
89,89,0.0,0.001,3.1415926535897927,1.0,0.0,0.0,1.0,4.712388980384691,inf,inf,0.0,0
90,90,0.0,0.0,4.712388980384691,1.0,0.0,0.0,1.0,4.712388980384691,inf,inf,0.0,0
