,theta,phi,lam,E,p
0,0.0,0.0,0.0,1.0,0.0
1,0.0,0.0,0.0,1.0,0.2
2,0.0,0.0,0.0,1.0,0.4
3,0.0,0.0,0.0,1.0,0.6000000000000001
4,0.0,0.0,0.0,1.0,0.8
5,0.0,0.0,0.0,1.0,1.0
6,0.0,0.0,0.4487989505128276,1.0,0.0
7,0.0,0.0,0.4487989505128276,0.89453125,0.2
8,0.0,0.0,0.4487989505128276,0.806640625,0.4
9,0.0,0.0,0.4487989505128276,0.70703125,0.6000000000000001
10,0.0,0.0,0.4487989505128276,0.5791015625,0.8
11,0.0,0.0,0.4487989505128276,0.4814453125,1.0
12,0.0,0.0,0.8975979010256552,1.0,0.0
13,0.0,0.0,0.8975979010256552,0.9130859375,0.2
14,0.0,0.0,0.8975979010256552,0.80078125,0.4
15,0.0,0.0,0.8975979010256552,0.6962890625,0.6000000000000001
16,0.0,0.0,0.8975979010256552,0.625,0.8
17,0.0,0.0,0.8975979010256552,0.5166015625,1.0
18,0.0,0.0,1.3463968515384828,1.0,0.0
19,0.0,0.0,1.3463968515384828,0.8935546875,0.2
20,0.0,0.0,1.3463968515384828,0.7880859375,0.4
21,0.0,0.0,1.3463968515384828,0.6923828125,0.6000000000000001
22,0.0,0.0,1.3463968515384828,0.6005859375,0.8
23,0.0,0.0,1.3463968515384828,0.5107421875,1.0
24,0.0,0.0,1.7951958020513104,1.0,0.0
25,0.0,0.0,1.7951958020513104,0.8759765625,0.2
26,0.0,0.0,1.7951958020513104,0.8115234375,0.4
27,0.0,0.0,1.7951958020513104,0.6884765625,0.6000000000000001
28,0.0,0.0,1.7951958020513104,0.587890625,0.8
29,0.0,0.0,1.7951958020513104,0.478515625,1.0
30,0.0,0.0,2.243994752564138,1.0,0.0
31,0.0,0.0,2.243994752564138,0.8955078125,0.2
32,0.0,0.0,2.243994752564138,0.796875,0.4
33,0.0,0.0,2.243994752564138,0.6953125,0.6000000000000001
34,0.0,0.0,2.243994752564138,0.5732421875,0.8
35,0.0,0.0,2.243994752564138,0.517578125,1.0
36,0.0,0.0,2.6927937030769655,1.0,0.0
37,0.0,0.0,2.6927937030769655,0.9111328125,0.2
38,0.0,0.0,2.6927937030769655,0.798828125,0.4
39,0.0,0.0,2.6927937030769655,0.7060546875,0.6000000000000001
40,0.0,0.0,2.6927937030769655,0.62109375,0.8
41,0.0,0.0,2.6927937030769655,0.5087890625,1.0
42,0.0,0.0,3.141592653589793,1.0,0.0
43,0.0,0.0,3.141592653589793,0.912109375,0.2
44,0.0,0.0,3.141592653589793,0.8046875,0.4
45,0.0,0.0,3.141592653589793,0.6806640625,0.6000000000000001
46,0.0,0.0,3.141592653589793,0.5888671875,0.8
47,0.0,0.0,3.141592653589793,0.4873046875,1.0
48,0.0,0.4487989505128276,0.0,1.0,0.0
49,0.0,0.4487989505128276,0.0,0.9013671875,0.2
50,0.0,0.4487989505128276,0.0,0.818359375,0.4
51,0.0,0.4487989505128276,0.0,0.7216796875,0.6000000000000001
52,0.0,0.4487989505128276,0.0,0.6064453125,0.8
53,0.0,0.4487989505128276,0.0,0.5009765625,1.0
54,0.0,0.4487989505128276,0.4487989505128276,1.0,0.0
55,0.0,0.4487989505128276,0.4487989505128276,0.9033203125,0.2
56,0.0,0.4487989505128276,0.4487989505128276,0.7919921875,0.4
57,0.0,0.4487989505128276,0.4487989505128276,0.69921875,0.6000000000000001
58,0.0,0.4487989505128276,0.4487989505128276,0.6064453125,0.8
59,0.0,0.4487989505128276,0.4487989505128276,0.49609375,1.0
60,0.0,0.4487989505128276,0.8975979010256552,1.0,0.0
61,0.0,0.4487989505128276,0.8975979010256552,0.90234375,0.2
62,0.0,0.4487989505128276,0.8975979010256552,0.7734375,0.4
63,0.0,0.4487989505128276,0.8975979010256552,0.677734375,0.6000000000000001
64,0.0,0.4487989505128276,0.8975979010256552,0.615234375,0.8
65,0.0,0.4487989505128276,0.8975979010256552,0.5048828125,1.0
66,0.0,0.4487989505128276,1.3463968515384828,1.0,0.0
67,0.0,0.4487989505128276,1.3463968515384828,0.8916015625,0.2
68,0.0,0.4487989505128276,1.3463968515384828,0.7822265625,0.4
69,0.0,0.4487989505128276,1.3463968515384828,0.7001953125,0.6000000000000001
70,0.0,0.4487989505128276,1.3463968515384828,0.6025390625,0.8
71,0.0,0.4487989505128276,1.3463968515384828,0.486328125,1.0
72,0.0,0.4487989505128276,1.7951958020513104,1.0,0.0
73,0.0,0.4487989505128276,1.7951958020513104,0.9033203125,0.2
74,0.0,0.4487989505128276,1.7951958020513104,0.7958984375,0.4
75,0.0,0.4487989505128276,1.7951958020513104,0.7119140625,0.6000000000000001
76,0.0,0.4487989505128276,1.7951958020513104,0.59765625,0.8
77,0.0,0.4487989505128276,1.7951958020513104,0.490234375,1.0
78,0.0,0.4487989505128276,2.243994752564138,1.0,0.0
79,0.0,0.4487989505128276,2.243994752564138,0.8974609375,0.2
80,0.0,0.4487989505128276,2.243994752564138,0.798828125,0.4
81,0.0,0.4487989505128276,2.243994752564138,0.6962890625,0.6000000000000001
82,0.0,0.4487989505128276,2.243994752564138,0.6123046875,0.8
83,0.0,0.4487989505128276,2.243994752564138,0.5048828125,1.0
84,0.0,0.4487989505128276,2.6927937030769655,1.0,0.0
85,0.0,0.4487989505128276,2.6927937030769655,0.9033203125,0.2
86,0.0,0.4487989505128276,2.6927937030769655,0.78515625,0.4
87,0.0,0.4487989505128276,2.6927937030769655,0.6943359375,0.6000000000000001
88,0.0,0.4487989505128276,2.6927937030769655,0.6064453125,0.8
89,0.0,0.4487989505128276,2.6927937030769655,0.5185546875,1.0
90,0.0,0.4487989505128276,3.141592653589793,1.0,0.0
91,0.0,0.4487989505128276,3.141592653589793,0.888671875,0.2
92,0.0,0.4487989505128276,3.141592653589793,0.8037109375,0.4
93,0.0,0.4487989505128276,3.141592653589793,0.7060546875,0.6000000000000001
94,0.0,0.4487989505128276,3.141592653589793,0.6005859375,0.8
95,0.0,0.4487989505128276,3.141592653589793,0.48046875,1.0
96,0.0,0.8975979010256552,0.0,1.0,0.0
97,0.0,0.8975979010256552,0.0,0.8740234375,0.2
98,0.0,0.8975979010256552,0.0,0.7978515625,0.4
99,0.0,0.8975979010256552,0.0,0.7021484375,0.6000000000000001
100,0.0,0.8975979010256552,0.0,0.5888671875,0.8
101,0.0,0.8975979010256552,0.0,0.5029296875,1.0
102,0.0,0.8975979010256552,0.4487989505128276,1.0,0.0
103,0.0,0.8975979010256552,0.4487989505128276,0.8974609375,0.2
104,0.0,0.8975979010256552,0.4487989505128276,0.80859375,0.4
105,0.0,0.8975979010256552,0.4487989505128276,0.7138671875,0.6000000000000001
106,0.0,0.8975979010256552,0.4487989505128276,0.6142578125,0.8
107,0.0,0.8975979010256552,0.4487989505128276,0.4912109375,1.0
108,0.0,0.8975979010256552,0.8975979010256552,1.0,0.0
109,0.0,0.8975979010256552,0.8975979010256552,0.9013671875,0.2
110,0.0,0.8975979010256552,0.8975979010256552,0.8037109375,0.4
111,0.0,0.8975979010256552,0.8975979010256552,0.6943359375,0.6000000000000001
112,0.0,0.8975979010256552,0.8975979010256552,0.603515625,0.8
113,0.0,0.8975979010256552,0.8975979010256552,0.5078125,1.0
114,0.0,0.8975979010256552,1.3463968515384828,1.0,0.0
115,0.0,0.8975979010256552,1.3463968515384828,0.90625,0.2
116,0.0,0.8975979010256552,1.3463968515384828,0.775390625,0.4
117,0.0,0.8975979010256552,1.3463968515384828,0.7080078125,0.6000000000000001
118,0.0,0.8975979010256552,1.3463968515384828,0.587890625,0.8
119,0.0,0.8975979010256552,1.3463968515384828,0.53125,1.0
120,0.0,0.8975979010256552,1.7951958020513104,1.0,0.0
121,0.0,0.8975979010256552,1.7951958020513104,0.9130859375,0.2
122,0.0,0.8975979010256552,1.7951958020513104,0.7978515625,0.4
123,0.0,0.8975979010256552,1.7951958020513104,0.7041015625,0.6000000000000001
124,0.0,0.8975979010256552,1.7951958020513104,0.5986328125,0.8
125,0.0,0.8975979010256552,1.7951958020513104,0.4892578125,1.0
126,0.0,0.8975979010256552,2.243994752564138,1.0,0.0
127,0.0,0.8975979010256552,2.243994752564138,0.9091796875,0.2
128,0.0,0.8975979010256552,2.243994752564138,0.8359375,0.4
129,0.0,0.8975979010256552,2.243994752564138,0.7060546875,0.6000000000000001
130,0.0,0.8975979010256552,2.243994752564138,0.607421875,0.8
131,0.0,0.8975979010256552,2.243994752564138,0.48828125,1.0
132,0.0,0.8975979010256552,2.6927937030769655,1.0,0.0
133,0.0,0.8975979010256552,2.6927937030769655,0.908203125,0.2
134,0.0,0.8975979010256552,2.6927937030769655,0.8037109375,0.4
135,0.0,0.8975979010256552,2.6927937030769655,0.7021484375,0.6000000000000001
136,0.0,0.8975979010256552,2.6927937030769655,0.6064453125,0.8
137,0.0,0.8975979010256552,2.6927937030769655,0.455078125,1.0
138,0.0,0.8975979010256552,3.141592653589793,1.0,0.0
139,0.0,0.8975979010256552,3.141592653589793,0.89453125,0.2
140,0.0,0.8975979010256552,3.141592653589793,0.7822265625,0.4
141,0.0,0.8975979010256552,3.141592653589793,0.7216796875,0.6000000000000001
142,0.0,0.8975979010256552,3.141592653589793,0.59375,0.8
143,0.0,0.8975979010256552,3.141592653589793,0.5048828125,1.0
144,0.0,1.3463968515384828,0.0,1.0,0.0
145,0.0,1.3463968515384828,0.0,0.904296875,0.2
146,0.0,1.3463968515384828,0.0,0.8095703125,0.4
147,0.0,1.3463968515384828,0.0,0.6943359375,0.6000000000000001
148,0.0,1.3463968515384828,0.0,0.619140625,0.8
149,0.0,1.3463968515384828,0.0,0.5146484375,1.0
150,0.0,1.3463968515384828,0.4487989505128276,1.0,0.0
151,0.0,1.3463968515384828,0.4487989505128276,0.896484375,0.2
152,0.0,1.3463968515384828,0.4487989505128276,0.7939453125,0.4
153,0.0,1.3463968515384828,0.4487989505128276,0.7109375,0.6000000000000001
154,0.0,1.3463968515384828,0.4487989505128276,0.6142578125,0.8
155,0.0,1.3463968515384828,0.4487989505128276,0.5087890625,1.0
156,0.0,1.3463968515384828,0.8975979010256552,1.0,0.0
157,0.0,1.3463968515384828,0.8975979010256552,0.890625,0.2
158,0.0,1.3463968515384828,0.8975979010256552,0.78125,0.4
159,0.0,1.3463968515384828,0.8975979010256552,0.65625,0.6000000000000001
160,0.0,1.3463968515384828,0.8975979010256552,0.6201171875,0.8
161,0.0,1.3463968515384828,0.8975979010256552,0.482421875,1.0
162,0.0,1.3463968515384828,1.3463968515384828,1.0,0.0
163,0.0,1.3463968515384828,1.3463968515384828,0.90234375,0.2
164,0.0,1.3463968515384828,1.3463968515384828,0.798828125,0.4
165,0.0,1.3463968515384828,1.3463968515384828,0.697265625,0.6000000000000001
166,0.0,1.3463968515384828,1.3463968515384828,0.580078125,0.8
167,0.0,1.3463968515384828,1.3463968515384828,0.51953125,1.0
168,0.0,1.3463968515384828,1.7951958020513104,1.0,0.0
169,0.0,1.3463968515384828,1.7951958020513104,0.8935546875,0.2
170,0.0,1.3463968515384828,1.7951958020513104,0.767578125,0.4
171,0.0,1.3463968515384828,1.7951958020513104,0.701171875,0.6000000000000001
172,0.0,1.3463968515384828,1.7951958020513104,0.595703125,0.8
173,0.0,1.3463968515384828,1.7951958020513104,0.51953125,1.0
174,0.0,1.3463968515384828,2.243994752564138,1.0,0.0
175,0.0,1.3463968515384828,2.243994752564138,0.9130859375,0.2
176,0.0,1.3463968515384828,2.243994752564138,0.794921875,0.4
177,0.0,1.3463968515384828,2.243994752564138,0.7236328125,0.6000000000000001
178,0.0,1.3463968515384828,2.243994752564138,0.5947265625,0.8
179,0.0,1.3463968515384828,2.243994752564138,0.4951171875,1.0
180,0.0,1.3463968515384828,2.6927937030769655,1.0,0.0
181,0.0,1.3463968515384828,2.6927937030769655,0.9013671875,0.2
182,0.0,1.3463968515384828,2.6927937030769655,0.802734375,0.4
183,0.0,1.3463968515384828,2.6927937030769655,0.6962890625,0.6000000000000001
184,0.0,1.3463968515384828,2.6927937030769655,0.5859375,0.8
185,0.0,1.3463968515384828,2.6927937030769655,0.4921875,1.0
186,0.0,1.3463968515384828,3.141592653589793,1.0,0.0
187,0.0,1.3463968515384828,3.141592653589793,0.908203125,0.2
188,0.0,1.3463968515384828,3.141592653589793,0.775390625,0.4
189,0.0,1.3463968515384828,3.141592653589793,0.7275390625,0.6000000000000001
190,0.0,1.3463968515384828,3.141592653589793,0.6064453125,0.8
191,0.0,1.3463968515384828,3.141592653589793,0.505859375,1.0
192,0.0,1.7951958020513104,0.0,1.0,0.0
193,0.0,1.7951958020513104,0.0,0.90234375,0.2
194,0.0,1.7951958020513104,0.0,0.8037109375,0.4
195,0.0,1.7951958020513104,0.0,0.7236328125,0.6000000000000001
196,0.0,1.7951958020513104,0.0,0.5830078125,0.8
197,0.0,1.7951958020513104,0.0,0.505859375,1.0
198,0.0,1.7951958020513104,0.4487989505128276,1.0,0.0
199,0.0,1.7951958020513104,0.4487989505128276,0.89453125,0.2
200,0.0,1.7951958020513104,0.4487989505128276,0.7900390625,0.4
201,0.0,1.7951958020513104,0.4487989505128276,0.7001953125,0.6000000000000001
202,0.0,1.7951958020513104,0.4487989505128276,0.6044921875,0.8
203,0.0,1.7951958020513104,0.4487989505128276,0.529296875,1.0
204,0.0,1.7951958020513104,0.8975979010256552,1.0,0.0
205,0.0,1.7951958020513104,0.8975979010256552,0.888671875,0.2
206,0.0,1.7951958020513104,0.8975979010256552,0.8115234375,0.4
207,0.0,1.7951958020513104,0.8975979010256552,0.6845703125,0.6000000000000001
208,0.0,1.7951958020513104,0.8975979010256552,0.5673828125,0.8
209,0.0,1.7951958020513104,0.8975979010256552,0.4892578125,1.0
210,0.0,1.7951958020513104,1.3463968515384828,1.0,0.0
211,0.0,1.7951958020513104,1.3463968515384828,0.9072265625,0.2
212,0.0,1.7951958020513104,1.3463968515384828,0.806640625,0.4
213,0.0,1.7951958020513104,1.3463968515384828,0.7119140625,0.6000000000000001
214,0.0,1.7951958020513104,1.3463968515384828,0.59765625,0.8
215,0.0,1.7951958020513104,1.3463968515384828,0.48828125,1.0
216,0.0,1.7951958020513104,1.7951958020513104,1.0,0.0
217,0.0,1.7951958020513104,1.7951958020513104,0.9072265625,0.2
218,0.0,1.7951958020513104,1.7951958020513104,0.7822265625,0.4
219,0.0,1.7951958020513104,1.7951958020513104,0.7158203125,0.6000000000000001
220,0.0,1.7951958020513104,1.7951958020513104,0.611328125,0.8
221,0.0,1.7951958020513104,1.7951958020513104,0.482421875,1.0
222,0.0,1.7951958020513104,2.243994752564138,1.0,0.0
223,0.0,1.7951958020513104,2.243994752564138,0.904296875,0.2
224,0.0,1.7951958020513104,2.243994752564138,0.8017578125,0.4
225,0.0,1.7951958020513104,2.243994752564138,0.7109375,0.6000000000000001
226,0.0,1.7951958020513104,2.243994752564138,0.59375,0.8
227,0.0,1.7951958020513104,2.243994752564138,0.4990234375,1.0
228,0.0,1.7951958020513104,2.6927937030769655,1.0,0.0
229,0.0,1.7951958020513104,2.6927937030769655,0.880859375,0.2
230,0.0,1.7951958020513104,2.6927937030769655,0.8037109375,0.4
231,0.0,1.7951958020513104,2.6927937030769655,0.7177734375,0.6000000000000001
232,0.0,1.7951958020513104,2.6927937030769655,0.591796875,0.8
233,0.0,1.7951958020513104,2.6927937030769655,0.50390625,1.0
234,0.0,1.7951958020513104,3.141592653589793,1.0,0.0
235,0.0,1.7951958020513104,3.141592653589793,0.88671875,0.2
236,0.0,1.7951958020513104,3.141592653589793,0.787109375,0.4
237,0.0,1.7951958020513104,3.141592653589793,0.701171875,0.6000000000000001
238,0.0,1.7951958020513104,3.141592653589793,0.5654296875,0.8
239,0.0,1.7951958020513104,3.141592653589793,0.4501953125,1.0
240,0.0,2.243994752564138,0.0,1.0,0.0
241,0.0,2.243994752564138,0.0,0.89453125,0.2
242,0.0,2.243994752564138,0.0,0.775390625,0.4
243,0.0,2.243994752564138,0.0,0.7119140625,0.6000000000000001
244,0.0,2.243994752564138,0.0,0.6181640625,0.8
245,0.0,2.243994752564138,0.0,0.5185546875,1.0
246,0.0,2.243994752564138,0.4487989505128276,1.0,0.0
247,0.0,2.243994752564138,0.4487989505128276,0.880859375,0.2
248,0.0,2.243994752564138,0.4487989505128276,0.8134765625,0.4
