,theta,phi,lam,p0_0,p1_0,p0_1,p1_1,depol_prob,t1,t2,population,E
43,0.0,0.0,0.0,1.0,0.0,0.06000000000000005,0.94,0.001,190000.0,33928.57142857143,1.0,0.0
44,0.0,0.0,0.0,1.0,0.0,0.06000000000000005,0.94,0.0,190000.0,292307.6923076923,0.0,0.0
45,0.0,0.0,0.0,1.0,0.0,0.06000000000000005,0.94,0.001,190000.0,292307.6923076923,0.0,0.0
46,0.0,0.0,0.0,1.0,0.0,0.06000000000000005,0.94,0.0,190000.0,292307.6923076923,1.0,0.0
47,0.0,0.0,0.0,1.0,0.0,0.06000000000000005,0.94,0.001,190000.0,292307.6923076923,1.0,0.0
48,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,34000.0,6071.428571428572,0.0,0.0
49,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.001,34000.0,6071.428571428572,0.0,0.0
50,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,34000.0,6071.428571428572,1.0,0.0
51,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.001,34000.0,6071.428571428572,1.0,0.0
52,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,34000.0,52307.692307692305,0.0,0.0
53,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.001,34000.0,52307.692307692305,0.0,0.0
54,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,34000.0,52307.692307692305,1.0,0.0
55,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.001,34000.0,52307.692307692305,1.0,0.0
56,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,190000.0,33928.57142857143,0.0,0.0
57,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.001,190000.0,33928.57142857143,0.0,0.0
58,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,190000.0,33928.57142857143,1.0,0.0
59,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.001,190000.0,33928.57142857143,1.0,0.0
60,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,190000.0,292307.6923076923,0.0,0.0
61,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.001,190000.0,292307.6923076923,0.0,0.0
62,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,190000.0,292307.6923076923,1.0,0.0
63,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.001,190000.0,292307.6923076923,1.0,0.0
64,0.0,0.0,6.283185307179586,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,34000.0,6071.428571428572,0.0,0.064697265625
65,0.0,0.0,6.283185307179586,0.94,0.06000000000000005,0.06000000000000005,0.94,0.001,34000.0,6071.428571428572,0.0,0.060791015625
66,0.0,0.0,6.283185307179586,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,34000.0,6071.428571428572,1.0,0.0595703125
67,0.0,0.0,6.283185307179586,0.94,0.06000000000000005,0.06000000000000005,0.94,0.001,34000.0,6071.428571428572,1.0,0.060791015625
68,0.0,0.0,6.283185307179586,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,34000.0,52307.692307692305,0.0,0.0634765625
69,0.0,0.0,6.283185307179586,0.94,0.06000000000000005,0.06000000000000005,0.94,0.001,34000.0,52307.692307692305,0.0,0.0595703125
70,0.0,0.0,6.283185307179586,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,34000.0,52307.692307692305,1.0,0.053466796875
71,0.0,0.0,6.283185307179586,0.94,0.06000000000000005,0.06000000000000005,0.94,0.001,34000.0,52307.692307692305,1.0,0.060302734375
72,0.0,0.0,6.283185307179586,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,190000.0,33928.57142857143,0.0,0.06005859375
73,0.0,0.0,6.283185307179586,0.94,0.06000000000000005,0.06000000000000005,0.94,0.001,190000.0,33928.57142857143,0.0,0.061767578125
74,0.0,0.0,6.283185307179586,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,190000.0,33928.57142857143,1.0,0.05419921875
75,0.0,0.0,6.283185307179586,0.94,0.06000000000000005,0.06000000000000005,0.94,0.001,190000.0,33928.57142857143,1.0,0.058837890625
76,0.0,0.0,6.283185307179586,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,190000.0,292307.6923076923,0.0,0.061767578125
77,0.0,0.0,6.283185307179586,0.94,0.06000000000000005,0.06000000000000005,0.94,0.001,190000.0,292307.6923076923,0.0,0.06787109375
78,0.0,0.0,6.283185307179586,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,190000.0,292307.6923076923,1.0,0.060302734375
79,0.0,0.0,6.283185307179586,0.94,0.06000000000000005,0.06000000000000005,0.94,0.001,190000.0,292307.6923076923,1.0,0.058837890625
80,0.0,0.0,6.283185307179586,0.94,0.06000000000000005,0.0,1.0,0.0,34000.0,6071.428571428572,0.0,0.058837890625
81,0.0,0.0,6.283185307179586,0.94,0.06000000000000005,0.0,1.0,0.001,34000.0,6071.428571428572,0.0,0.0615234375
82,0.0,0.0,6.283185307179586,0.94,0.06000000000000005,0.0,1.0,0.0,34000.0,6071.428571428572,1.0,0.060791015625
83,0.0,0.0,6.283185307179586,0.94,0.06000000000000005,0.0,1.0,0.001,34000.0,6071.428571428572,1.0,0.05810546875
84,0.0,0.0,6.283185307179586,0.94,0.06000000000000005,0.0,1.0,0.0,34000.0,52307.692307692305,0.0,0.06103515625
85,0.0,0.0,6.283185307179586,0.94,0.06000000000000005,0.0,1.0,0.001,34000.0,52307.692307692305,0.0,0.05712890625
86,0.0,0.0,6.283185307179586,0.94,0.06000000000000005,0.0,1.0,0.0,34000.0,52307.692307692305,1.0,0.060791015625
87,0.0,0.0,6.283185307179586,0.94,0.06000000000000005,0.0,1.0,0.001,34000.0,52307.692307692305,1.0,0.0654296875
88,0.0,0.0,6.283185307179586,0.94,0.06000000000000005,0.0,1.0,0.0,190000.0,33928.57142857143,0.0,0.0546875
89,0.0,0.0,6.283185307179586,0.94,0.06000000000000005,0.0,1.0,0.001,190000.0,33928.57142857143,0.0,0.0556640625
90,0.0,0.0,6.283185307179586,0.94,0.06000000000000005,0.0,1.0,0.0,190000.0,33928.57142857143,1.0,0.059814453125
91,0.0,0.0,6.283185307179586,0.94,0.06000000000000005,0.0,1.0,0.001,190000.0,33928.57142857143,1.0,0.0556640625
92,0.0,0.0,6.283185307179586,0.94,0.06000000000000005,0.0,1.0,0.0,190000.0,292307.6923076923,0.0,0.059814453125
93,0.0,0.0,6.283185307179586,0.94,0.06000000000000005,0.0,1.0,0.001,190000.0,292307.6923076923,0.0,0.05322265625
94,0.0,0.0,6.283185307179586,0.94,0.06000000000000005,0.0,1.0,0.0,190000.0,292307.6923076923,1.0,0.058349609375
95,0.0,0.0,6.283185307179586,0.94,0.06000000000000005,0.0,1.0,0.001,190000.0,292307.6923076923,1.0,0.06591796875
96,0.0,0.0,6.283185307179586,1.0,0.0,0.06000000000000005,0.94,0.0,34000.0,6071.428571428572,0.0,0.0
97,0.0,0.0,6.283185307179586,1.0,0.0,0.06000000000000005,0.94,0.001,34000.0,6071.428571428572,0.0,0.0
98,0.0,0.0,6.283185307179586,1.0,0.0,0.06000000000000005,0.94,0.0,34000.0,6071.428571428572,1.0,0.0
99,0.0,0.0,6.283185307179586,1.0,0.0,0.06000000000000005,0.94,0.001,34000.0,6071.428571428572,1.0,0.0
100,0.0,0.0,6.283185307179586,1.0,0.0,0.06000000000000005,0.94,0.0,34000.0,52307.692307692305,0.0,0.0
101,0.0,0.0,6.283185307179586,1.0,0.0,0.06000000000000005,0.94,0.001,34000.0,52307.692307692305,0.0,0.0
102,0.0,0.0,6.283185307179586,1.0,0.0,0.06000000000000005,0.94,0.0,34000.0,52307.692307692305,1.0,0.0
103,0.0,0.0,6.283185307179586,1.0,0.0,0.06000000000000005,0.94,0.001,34000.0,52307.692307692305,1.0,0.0
104,0.0,0.0,6.283185307179586,1.0,0.0,0.06000000000000005,0.94,0.0,190000.0,33928.57142857143,0.0,0.0
105,0.0,0.0,6.283185307179586,1.0,0.0,0.06000000000000005,0.94,0.001,190000.0,33928.57142857143,0.0,0.0
106,0.0,0.0,6.283185307179586,1.0,0.0,0.06000000000000005,0.94,0.0,190000.0,33928.57142857143,1.0,0.0
107,0.0,0.0,6.283185307179586,1.0,0.0,0.06000000000000005,0.94,0.001,190000.0,33928.57142857143,1.0,0.0
108,0.0,0.0,6.283185307179586,1.0,0.0,0.06000000000000005,0.94,0.0,190000.0,292307.6923076923,0.0,0.0
109,0.0,0.0,6.283185307179586,1.0,0.0,0.06000000000000005,0.94,0.001,190000.0,292307.6923076923,0.0,0.0
110,0.0,0.0,6.283185307179586,1.0,0.0,0.06000000000000005,0.94,0.0,190000.0,292307.6923076923,1.0,0.0
111,0.0,0.0,6.283185307179586,1.0,0.0,0.06000000000000005,0.94,0.001,190000.0,292307.6923076923,1.0,0.0
112,0.0,0.0,6.283185307179586,1.0,0.0,0.0,1.0,0.0,34000.0,6071.428571428572,0.0,0.0
113,0.0,0.0,6.283185307179586,1.0,0.0,0.0,1.0,0.001,34000.0,6071.428571428572,0.0,0.0
114,0.0,0.0,6.283185307179586,1.0,0.0,0.0,1.0,0.0,34000.0,6071.428571428572,1.0,0.0
115,0.0,0.0,6.283185307179586,1.0,0.0,0.0,1.0,0.001,34000.0,6071.428571428572,1.0,0.0
116,0.0,0.0,6.283185307179586,1.0,0.0,0.0,1.0,0.0,34000.0,52307.692307692305,0.0,0.0
117,0.0,0.0,6.283185307179586,1.0,0.0,0.0,1.0,0.001,34000.0,52307.692307692305,0.0,0.0
118,0.0,0.0,6.283185307179586,1.0,0.0,0.0,1.0,0.0,34000.0,52307.692307692305,1.0,0.0
119,0.0,0.0,6.283185307179586,1.0,0.0,0.0,1.0,0.001,34000.0,52307.692307692305,1.0,0.0
