,theta,phi,lam,p0_0,p1_0,p0_1,p1_1,depol_prob,t1,t2,population,E
0,0.0,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,34000.0,6071.428571428572,0.0,0.060546875
1,0.0,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0005,34000.0,6071.428571428572,0.0,0.063232421875
2,0.0,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.001,34000.0,6071.428571428572,0.0,0.062255859375
3,0.0,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,34000.0,6071.428571428572,0.5,0.066650390625
4,0.0,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0005,34000.0,6071.428571428572,0.5,0.060302734375
5,0.0,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.001,34000.0,6071.428571428572,0.5,0.053955078125
6,0.0,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,34000.0,6071.428571428572,1.0,0.05908203125
7,0.0,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0005,34000.0,6071.428571428572,1.0,0.060302734375
8,0.0,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.001,34000.0,6071.428571428572,1.0,0.05712890625
9,0.0,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,34000.0,29189.56043956044,0.0,0.061767578125
10,0.0,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0005,34000.0,29189.56043956044,0.0,0.06103515625
11,0.0,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.001,34000.0,29189.56043956044,0.0,0.056884765625
12,0.0,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,34000.0,29189.56043956044,0.5,0.06201171875
13,0.0,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0005,34000.0,29189.56043956044,0.5,0.056640625
14,0.0,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.001,34000.0,29189.56043956044,0.5,0.059326171875
15,0.0,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,34000.0,29189.56043956044,1.0,0.05810546875
16,0.0,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0005,34000.0,29189.56043956044,1.0,0.0595703125
17,0.0,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.001,34000.0,29189.56043956044,1.0,0.060546875
18,0.0,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,34000.0,52307.692307692305,0.0,0.0595703125
19,0.0,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0005,34000.0,52307.692307692305,0.0,0.060791015625
20,0.0,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.001,34000.0,52307.692307692305,0.0,0.05712890625
21,0.0,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,34000.0,52307.692307692305,0.5,0.0537109375
22,0.0,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0005,34000.0,52307.692307692305,0.5,0.05712890625
23,0.0,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.001,34000.0,52307.692307692305,0.5,0.062744140625
24,0.0,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,34000.0,52307.692307692305,1.0,0.0546875
25,0.0,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0005,34000.0,52307.692307692305,1.0,0.06005859375
26,0.0,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.001,34000.0,52307.692307692305,1.0,0.06640625
27,0.0,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,112000.0,20000.0,0.0,0.059814453125
28,0.0,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0005,112000.0,20000.0,0.0,0.059814453125
29,0.0,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.001,112000.0,20000.0,0.0,0.070068359375
30,0.0,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,112000.0,20000.0,0.5,0.064453125
31,0.0,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0005,112000.0,20000.0,0.5,0.066650390625
32,0.0,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.001,112000.0,20000.0,0.5,0.056396484375
33,0.0,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,112000.0,20000.0,1.0,0.059326171875
34,0.0,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0005,112000.0,20000.0,1.0,0.05810546875
35,0.0,0.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.001,112000.0,20000.0,1.0,0.060546875
