,theta,phi,lam,E,p
0,0.0,0.0,0.0,1.0,0.0
1,0.0,0.0,0.0,1.0,0.1111111111111111
2,0.0,0.0,0.0,1.0,0.2222222222222222
3,0.0,0.0,0.0,1.0,0.3333333333333333
4,0.0,0.0,0.0,1.0,0.4444444444444444
5,0.0,0.0,0.0,1.0,0.5555555555555556
6,0.0,0.0,0.0,1.0,0.6666666666666666
7,0.0,0.0,0.0,1.0,0.7777777777777777
8,0.0,0.0,0.0,1.0,0.8888888888888888
9,0.0,0.0,0.0,1.0,1.0
10,0.0,0.0,0.39269908169872414,1.0,0.0
11,0.0,0.0,0.39269908169872414,0.9345703125,0.1111111111111111
12,0.0,0.0,0.39269908169872414,0.8828125,0.2222222222222222
13,0.0,0.0,0.39269908169872414,0.8193359375,0.3333333333333333
14,0.0,0.0,0.39269908169872414,0.79296875,0.4444444444444444
15,0.0,0.0,0.39269908169872414,0.728515625,0.5555555555555556
16,0.0,0.0,0.39269908169872414,0.67578125,0.6666666666666666
17,0.0,0.0,0.39269908169872414,0.6259765625,0.7777777777777777
18,0.0,0.0,0.39269908169872414,0.57421875,0.8888888888888888
19,0.0,0.0,0.39269908169872414,0.4921875,1.0
20,0.0,0.0,0.7853981633974483,1.0,0.0
21,0.0,0.0,0.7853981633974483,0.953125,0.1111111111111111
22,0.0,0.0,0.7853981633974483,0.884765625,0.2222222222222222
23,0.0,0.0,0.7853981633974483,0.83203125,0.3333333333333333
24,0.0,0.0,0.7853981633974483,0.771484375,0.4444444444444444
25,0.0,0.0,0.7853981633974483,0.7275390625,0.5555555555555556
26,0.0,0.0,0.7853981633974483,0.685546875,0.6666666666666666
27,0.0,0.0,0.7853981633974483,0.6064453125,0.7777777777777777
28,0.0,0.0,0.7853981633974483,0.55859375,0.8888888888888888
29,0.0,0.0,0.7853981633974483,0.5087890625,1.0
30,0.0,0.0,1.1780972450961724,1.0,0.0
31,0.0,0.0,1.1780972450961724,0.93359375,0.1111111111111111
32,0.0,0.0,1.1780972450961724,0.896484375,0.2222222222222222
33,0.0,0.0,1.1780972450961724,0.828125,0.3333333333333333
34,0.0,0.0,1.1780972450961724,0.7763671875,0.4444444444444444
35,0.0,0.0,1.1780972450961724,0.732421875,0.5555555555555556
36,0.0,0.0,1.1780972450961724,0.666015625,0.6666666666666666
37,0.0,0.0,1.1780972450961724,0.6142578125,0.7777777777777777
38,0.0,0.0,1.1780972450961724,0.5498046875,0.8888888888888888
39,0.0,0.0,1.1780972450961724,0.484375,1.0
40,0.0,0.0,1.5707963267948966,1.0,0.0
41,0.0,0.0,1.5707963267948966,0.9443359375,0.1111111111111111
42,0.0,0.0,1.5707963267948966,0.873046875,0.2222222222222222
43,0.0,0.0,1.5707963267948966,0.83984375,0.3333333333333333
44,0.0,0.0,1.5707963267948966,0.7646484375,0.4444444444444444
45,0.0,0.0,1.5707963267948966,0.7236328125,0.5555555555555556
46,0.0,0.0,1.5707963267948966,0.669921875,0.6666666666666666
47,0.0,0.0,1.5707963267948966,0.5869140625,0.7777777777777777
48,0.0,0.0,1.5707963267948966,0.5458984375,0.8888888888888888
49,0.0,0.0,1.5707963267948966,0.51953125,1.0
50,0.0,0.0,1.9634954084936207,1.0,0.0
51,0.0,0.0,1.9634954084936207,0.9326171875,0.1111111111111111
52,0.0,0.0,1.9634954084936207,0.8857421875,0.2222222222222222
53,0.0,0.0,1.9634954084936207,0.826171875,0.3333333333333333
54,0.0,0.0,1.9634954084936207,0.7734375,0.4444444444444444
55,0.0,0.0,1.9634954084936207,0.7138671875,0.5555555555555556
56,0.0,0.0,1.9634954084936207,0.6591796875,0.6666666666666666
57,0.0,0.0,1.9634954084936207,0.6064453125,0.7777777777777777
58,0.0,0.0,1.9634954084936207,0.5673828125,0.8888888888888888
59,0.0,0.0,1.9634954084936207,0.5205078125,1.0
60,0.0,0.0,2.356194490192345,1.0,0.0
61,0.0,0.0,2.356194490192345,0.94921875,0.1111111111111111
62,0.0,0.0,2.356194490192345,0.875,0.2222222222222222
63,0.0,0.0,2.356194490192345,0.828125,0.3333333333333333
64,0.0,0.0,2.356194490192345,0.775390625,0.4444444444444444
65,0.0,0.0,2.356194490192345,0.6962890625,0.5555555555555556
66,0.0,0.0,2.356194490192345,0.6865234375,0.6666666666666666
67,0.0,0.0,2.356194490192345,0.6123046875,0.7777777777777777
68,0.0,0.0,2.356194490192345,0.5576171875,0.8888888888888888
69,0.0,0.0,2.356194490192345,0.4921875,1.0
70,0.0,0.0,2.748893571891069,1.0,0.0
