,theta,phi,lam,E,p
0,0.0,0.0,0.0,1.0,0.0
1,0.0,0.0,0.0,1.0,0.08333333333333333
2,0.0,0.0,0.0,1.0,0.16666666666666666
3,0.0,0.0,0.0,1.0,0.25
4,0.0,0.0,0.0,1.0,0.3333333333333333
5,0.0,0.0,0.0,1.0,0.41666666666666663
6,0.0,0.0,0.0,1.0,0.5
7,0.0,0.0,0.0,1.0,0.5833333333333333
8,0.0,0.0,0.0,1.0,0.6666666666666666
9,0.0,0.0,0.0,1.0,0.75
10,0.0,0.0,0.0,1.0,0.8333333333333333
11,0.0,0.0,0.0,1.0,0.9166666666666666
12,0.0,0.0,0.0,1.0,1.0
13,0.0,0.0,0.2617993877991494,1.0,0.0
14,0.0,0.0,0.2617993877991494,0.962890625,0.08333333333333333
15,0.0,0.0,0.2617993877991494,0.9248046875,0.16666666666666666
16,0.0,0.0,0.2617993877991494,0.8779296875,0.25
17,0.0,0.0,0.2617993877991494,0.8359375,0.3333333333333333
18,0.0,0.0,0.2617993877991494,0.806640625,0.41666666666666663
19,0.0,0.0,0.2617993877991494,0.775390625,0.5
20,0.0,0.0,0.2617993877991494,0.681640625,0.5833333333333333
21,0.0,0.0,0.2617993877991494,0.6669921875,0.6666666666666666
22,0.0,0.0,0.2617993877991494,0.634765625,0.75
23,0.0,0.0,0.2617993877991494,0.564453125,0.8333333333333333
24,0.0,0.0,0.2617993877991494,0.5302734375,0.9166666666666666
25,0.0,0.0,0.2617993877991494,0.5,1.0
26,0.0,0.0,0.5235987755982988,1.0,0.0
27,0.0,0.0,0.5235987755982988,0.9580078125,0.08333333333333333
28,0.0,0.0,0.5235987755982988,0.9189453125,0.16666666666666666
29,0.0,0.0,0.5235987755982988,0.873046875,0.25
30,0.0,0.0,0.5235987755982988,0.845703125,0.3333333333333333
31,0.0,0.0,0.5235987755982988,0.7744140625,0.41666666666666663
32,0.0,0.0,0.5235987755982988,0.744140625,0.5
33,0.0,0.0,0.5235987755982988,0.7158203125,0.5833333333333333
34,0.0,0.0,0.5235987755982988,0.673828125,0.6666666666666666
35,0.0,0.0,0.5235987755982988,0.6337890625,0.75
36,0.0,0.0,0.5235987755982988,0.5810546875,0.8333333333333333
37,0.0,0.0,0.5235987755982988,0.5400390625,0.9166666666666666
38,0.0,0.0,0.5235987755982988,0.52734375,1.0
39,0.0,0.0,0.7853981633974483,1.0,0.0
40,0.0,0.0,0.7853981633974483,0.9609375,0.08333333333333333
41,0.0,0.0,0.7853981633974483,0.904296875,0.16666666666666666
42,0.0,0.0,0.7853981633974483,0.859375,0.25
43,0.0,0.0,0.7853981633974483,0.8291015625,0.3333333333333333
44,0.0,0.0,0.7853981633974483,0.796875,0.41666666666666663
45,0.0,0.0,0.7853981633974483,0.7294921875,0.5
46,0.0,0.0,0.7853981633974483,0.7109375,0.5833333333333333
47,0.0,0.0,0.7853981633974483,0.6748046875,0.6666666666666666
48,0.0,0.0,0.7853981633974483,0.609375,0.75
49,0.0,0.0,0.7853981633974483,0.56640625,0.8333333333333333
50,0.0,0.0,0.7853981633974483,0.537109375,0.9166666666666666
51,0.0,0.0,0.7853981633974483,0.4931640625,1.0
52,0.0,0.0,1.0471975511965976,1.0,0.0
53,0.0,0.0,1.0471975511965976,0.951171875,0.08333333333333333
54,0.0,0.0,1.0471975511965976,0.927734375,0.16666666666666666
55,0.0,0.0,1.0471975511965976,0.8974609375,0.25
56,0.0,0.0,1.0471975511965976,0.8212890625,0.3333333333333333
57,0.0,0.0,1.0471975511965976,0.7890625,0.41666666666666663
58,0.0,0.0,1.0471975511965976,0.7841796875,0.5
59,0.0,0.0,1.0471975511965976,0.6787109375,0.5833333333333333
60,0.0,0.0,1.0471975511965976,0.6650390625,0.6666666666666666
61,0.0,0.0,1.0471975511965976,0.6162109375,0.75
62,0.0,0.0,1.0471975511965976,0.6083984375,0.8333333333333333
63,0.0,0.0,1.0471975511965976,0.57421875,0.9166666666666666
64,0.0,0.0,1.0471975511965976,0.4541015625,1.0
65,0.0,0.0,1.308996938995747,1.0,0.0
66,0.0,0.0,1.308996938995747,0.953125,0.08333333333333333
67,0.0,0.0,1.308996938995747,0.9208984375,0.16666666666666666
68,0.0,0.0,1.308996938995747,0.861328125,0.25
69,0.0,0.0,1.308996938995747,0.8369140625,0.3333333333333333
70,0.0,0.0,1.308996938995747,0.7978515625,0.41666666666666663
71,0.0,0.0,1.308996938995747,0.7265625,0.5
72,0.0,0.0,1.308996938995747,0.6962890625,0.5833333333333333
73,0.0,0.0,1.308996938995747,0.6630859375,0.6666666666666666
74,0.0,0.0,1.308996938995747,0.6376953125,0.75
75,0.0,0.0,1.308996938995747,0.580078125,0.8333333333333333
76,0.0,0.0,1.308996938995747,0.5439453125,0.9166666666666666
77,0.0,0.0,1.308996938995747,0.4912109375,1.0
78,0.0,0.0,1.5707963267948966,1.0,0.0
79,0.0,0.0,1.5707963267948966,0.9580078125,0.08333333333333333
80,0.0,0.0,1.5707963267948966,0.9130859375,0.16666666666666666
81,0.0,0.0,1.5707963267948966,0.8828125,0.25
82,0.0,0.0,1.5707963267948966,0.8310546875,0.3333333333333333
83,0.0,0.0,1.5707963267948966,0.80078125,0.41666666666666663
84,0.0,0.0,1.5707963267948966,0.744140625,0.5
85,0.0,0.0,1.5707963267948966,0.716796875,0.5833333333333333
86,0.0,0.0,1.5707963267948966,0.6435546875,0.6666666666666666
87,0.0,0.0,1.5707963267948966,0.6201171875,0.75
88,0.0,0.0,1.5707963267948966,0.5810546875,0.8333333333333333
89,0.0,0.0,1.5707963267948966,0.55078125,0.9166666666666666
90,0.0,0.0,1.5707963267948966,0.5205078125,1.0
91,0.0,0.0,1.832595714594046,1.0,0.0
92,0.0,0.0,1.832595714594046,0.955078125,0.08333333333333333
93,0.0,0.0,1.832595714594046,0.9130859375,0.16666666666666666
94,0.0,0.0,1.832595714594046,0.861328125,0.25
95,0.0,0.0,1.832595714594046,0.8291015625,0.3333333333333333
96,0.0,0.0,1.832595714594046,0.7861328125,0.41666666666666663
97,0.0,0.0,1.832595714594046,0.75390625,0.5
98,0.0,0.0,1.832595714594046,0.7333984375,0.5833333333333333
99,0.0,0.0,1.832595714594046,0.65625,0.6666666666666666
100,0.0,0.0,1.832595714594046,0.623046875,0.75
101,0.0,0.0,1.832595714594046,0.615234375,0.8333333333333333
102,0.0,0.0,1.832595714594046,0.55078125,0.9166666666666666
103,0.0,0.0,1.832595714594046,0.4775390625,1.0
104,0.0,0.0,2.0943951023931953,1.0,0.0
105,0.0,0.0,2.0943951023931953,0.953125,0.08333333333333333
106,0.0,0.0,2.0943951023931953,0.916015625,0.16666666666666666
107,0.0,0.0,2.0943951023931953,0.8701171875,0.25
108,0.0,0.0,2.0943951023931953,0.830078125,0.3333333333333333
109,0.0,0.0,2.0943951023931953,0.7939453125,0.41666666666666663
110,0.0,0.0,2.0943951023931953,0.7412109375,0.5
111,0.0,0.0,2.0943951023931953,0.71484375,0.5833333333333333
112,0.0,0.0,2.0943951023931953,0.662109375,0.6666666666666666
113,0.0,0.0,2.0943951023931953,0.6044921875,0.75
114,0.0,0.0,2.0943951023931953,0.599609375,0.8333333333333333
115,0.0,0.0,2.0943951023931953,0.55078125,0.9166666666666666
116,0.0,0.0,2.0943951023931953,0.517578125,1.0
117,0.0,0.0,2.356194490192345,1.0,0.0
118,0.0,0.0,2.356194490192345,0.9541015625,0.08333333333333333
119,0.0,0.0,2.356194490192345,0.9150390625,0.16666666666666666
120,0.0,0.0,2.356194490192345,0.87109375,0.25
121,0.0,0.0,2.356194490192345,0.828125,0.3333333333333333
