backend,qubit,datetime,name,units,value,log_datetime
ibmq_16_melbourne,0,2020-10-11T09:53:48+00:00,id_length,ns,53.33333333333333,2020-10-12T10:43:28.999536
ibmq_16_melbourne,1,2020-10-10T04:27:09+00:00,T1,us,57.82559843374014,2020-10-12T10:43:28.999536
ibmq_16_melbourne,1,2020-10-11T04:32:25+00:00,T2,us,32.845606215573646,2020-10-12T10:43:28.999536
ibmq_16_melbourne,1,2020-10-11T09:53:48+00:00,frequency,GHz,5.235708922924826,2020-10-12T10:43:28.999536
ibmq_16_melbourne,1,2020-10-11T09:53:48+00:00,anharmonicity,GHz,0,2020-10-12T10:43:28.999536
ibmq_16_melbourne,1,2020-10-11T04:29:24+00:00,readout_error,,0.04380000000000006,2020-10-12T10:43:28.999536
ibmq_16_melbourne,1,2020-10-11T04:29:24+00:00,prob_meas0_prep1,,0.0724,2020-10-12T10:43:28.999536
ibmq_16_melbourne,1,2020-10-11T04:29:24+00:00,prob_meas1_prep0,,0.015199999999999991,2020-10-12T10:43:28.999536
ibmq_16_melbourne,1,2020-10-11T09:53:48+00:00,id_length,ns,53.33333333333333,2020-10-12T10:43:28.999536
ibmq_16_melbourne,2,2020-10-11T04:30:01+00:00,T1,us,75.28747540909204,2020-10-12T10:43:28.999536
ibmq_16_melbourne,2,2020-10-11T04:31:20+00:00,T2,us,120.36460218784786,2020-10-12T10:43:28.999536
ibmq_16_melbourne,2,2020-10-11T09:53:48+00:00,frequency,GHz,5.038472685020718,2020-10-12T10:43:28.999536
ibmq_16_melbourne,2,2020-10-11T09:53:48+00:00,anharmonicity,GHz,0,2020-10-12T10:43:28.999536
ibmq_16_melbourne,2,2020-10-11T04:29:24+00:00,readout_error,,0.030200000000000005,2020-10-12T10:43:28.999536
ibmq_16_melbourne,2,2020-10-11T04:29:24+00:00,prob_meas0_prep1,,0.0528,2020-10-12T10:43:28.999536
ibmq_16_melbourne,2,2020-10-11T04:29:24+00:00,prob_meas1_prep0,,0.007600000000000051,2020-10-12T10:43:28.999536
